algo,data,filename,jsd,loss_type,mae,mape,mean_std,rmse,smape,std_ae,std_ape,sub_data,tuning_algo
GruGan,traffic,"la-[2, 1]_ac-tanh_dr-0.07_ou-tanh_ce-gru_co-after_la-[8, 1]_ac-tanh_dr-0.203_ou-sigmoid_ce-gru_in-[4, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.091,loss_gan,143309274.684,0.042,1197080647.5753,197173342.281,0.041,269926412.727,0.077,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.074_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.352_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.348,loss_gan,1017961634.003,0.271,522955266.31854445,1171421367.648,0.314,579737793.164,0.037,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.314_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.01_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.225,loss_gan,435564527.447,0.115,1145918309.6271381,530030503.886,0.123,305731886.982,0.049,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[2, 1]_ac-tanh_dr-0.09_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.434_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-5_is-False_lo-loss_gan_.csv",0.083,loss_gan,143759949.635,0.041,1216237504.2730956,199776972.765,0.041,234528941.906,0.066,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.378_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.122_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.153,loss_gan,260657688.99,0.072,1186759593.7277427,344454447.007,0.068,559659439.784,0.149,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[32, 1]_ac-tanh_dr-0.041_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.093_ou-sigmoid_ce-gru_in-[1, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.105,loss_gan,166734626.387,0.047,1088396723.1295097,228761651.91,0.046,344450010.5,0.095,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.334_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.5_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.372,loss_gan,1406200996.554,0.375,122254982.18256949,1609074826.077,0.462,782258125.951,0.027,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[16, 1]_ac-tanh_dr-0.215_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.447_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-5_is-False_lo-loss_gan_.csv",0.156,loss_gan,222414893.762,0.06,1062073589.6728581,295135210.977,0.063,213027899.889,0.05,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.271_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.276_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.346,loss_gan,1007199462.84,0.268,514501836.9999489,1160823774.665,0.31,577212149.253,0.038,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.14_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.337_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.358,loss_gan,1298767489.837,0.346,386465285.5522312,1487053332.479,0.42,724367522.397,0.03,internet-traffic-data-in-bits-fr_EU_5m,bayes
